,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,negLogP,signif
ENSMUSG00000000001,777.053896322335,0.351720157626114,0.118285194469357,2.97349266071699,0.00294431447866573,0.0290204389325419,1.53729602316847,TRUE
ENSMUSG00000000142,497.946199803667,-0.440578323074384,0.139681432549726,-3.15416526758157,0.00160957906703959,0.0185672431797282,1.73125257448915,TRUE
ENSMUSG00000000149,2689.33501513045,0.360718913056923,0.117289630982918,3.07545441173277,0.00210182057157962,0.0226150878311883,1.64560172122665,TRUE
ENSMUSG00000000340,480.15434869889,0.371203019889581,0.125242762760018,2.96386802486029,0.00303798547838184,0.0296345476286008,1.52820169788006,TRUE
ENSMUSG00000000346,2456.58413917432,0.330703409376837,0.110571197137843,2.99086396762592,0.00278189388340056,0.027722529653717,1.55716714330536,TRUE
ENSMUSG00000000416,2976.2843899416,-0.47464260125075,0.113666614946028,-4.17574326002515,2.97014660642785e-05,0.00080616523691019,3.09357593322785,TRUE
ENSMUSG00000000420,1147.27133612601,0.372515309098534,0.103896041552361,3.58546200156043,0.000336481995994596,0.00572504761160136,2.24222089722043,TRUE
ENSMUSG00000000594,1413.18398656347,0.451411515301435,0.144597891330398,3.12184023672922,0.00179724441263383,0.0200896486710242,1.69702765815318,TRUE
ENSMUSG00000000600,932.369072469543,-0.523031143286225,0.0998546015257032,-5.23792729924012,1.62390002332691e-07,8.66123665667452e-06,5.06242009472329,TRUE
ENSMUSG00000000751,1281.06196402968,0.367600639228572,0.0971180556336532,3.78509059752214,0.000153652592199697,0.00312039005305444,2.50579111517987,TRUE
ENSMUSG00000000753,206.614502585949,0.648825362060318,0.218103076390079,2.974856534806,0.00293125601460581,0.0289204627477841,1.53879476230416,TRUE
ENSMUSG00000000823,1153.79193424138,-0.762784381257851,0.0871956529370548,-8.74796340831914,2.17237679663141e-18,1.53936171507013e-15,14.8126593188292,TRUE
ENSMUSG00000000916,186.303390211693,-0.663825704538418,0.208694438915482,-3.18084999288006,0.00146843643782856,0.0173527381554237,1.76063198646592,TRUE
ENSMUSG00000000957,330.294599969516,0.461537086525449,0.147156116926138,3.13637717660834,0.00171049066038632,0.0193798640933991,1.71264927288349,TRUE
ENSMUSG00000001025,189.471074895042,0.37110974619047,0.133609498458212,2.77757008650503,0.00547670274016742,0.0444128707580144,1.35249115400332,TRUE
ENSMUSG00000001065,392.34891559081,-0.57845698897074,0.146163642302777,-3.95759834564378,7.57071206550987e-05,0.00177553780250332,2.75067007681558,TRUE
ENSMUSG00000001082,277.295174006057,-0.800828354218646,0.176739196674205,-4.53113044128444,5.86688973856413e-06,0.000206391771813566,3.68530762064558,TRUE
ENSMUSG00000001119,385.69173411769,-1.52805484790238,0.223780551055434,-6.82836305789531,8.5889001319827e-12,1.40836667370801e-09,8.85128426022494,TRUE
ENSMUSG00000001128,103.754369958934,-1.47383310729862,0.186668407913239,-7.89546085368467,2.89244450761976e-15,1.12527434266046e-12,11.9487415833495,TRUE
ENSMUSG00000001150,1014.07282224424,-0.326039590015324,0.119748971740966,-2.72269218912872,0.00647523579792064,0.0497376534213613,1.30331470821353,TRUE
ENSMUSG00000001247,175.723130297423,0.484956898016967,0.158364389320719,3.06228502567478,0.00219654187947564,0.0233932299681568,1.63090980980686,TRUE
ENSMUSG00000001248,1878.27341011297,-0.497377173401495,0.111398842702197,-4.46483250038008,8.01314160719799e-06,0.000271775628424641,3.56578949136828,TRUE
ENSMUSG00000001260,485.633933281189,0.417973687466933,0.121485876019302,3.44051260247341,0.000580613397030406,0.00855230171527861,2.06791698612374,TRUE
ENSMUSG00000001687,3536.76466053488,0.324357120297031,0.0811248671686166,3.99824531758998,6.38137945780696e-05,0.0015353969413669,2.81377932887754,TRUE
ENSMUSG00000001751,346.445071372399,0.50466888691608,0.164943922028191,3.05963918349065,0.00221603791786645,0.0235502990510917,1.6280035736555,TRUE
ENSMUSG00000001761,523.431387646547,0.386948977373198,0.112571609304064,3.43735849354361,0.000587417566539019,0.00863969750756166,2.06350146274061,TRUE
ENSMUSG00000001768,760.166855619083,0.397586685945174,0.113423070816109,3.50534228252182,0.000456020598224358,0.00718784353475171,2.14340138519878,TRUE
ENSMUSG00000001847,6896.75214058547,0.466129198121165,0.144634597360906,3.22280565387848,0.00126941650169665,0.0155664356057869,1.8078108205696,TRUE
ENSMUSG00000001891,1666.7647483458,0.432665810194138,0.12444977565711,3.47662989273874,0.00050775820656587,0.00776748695179138,2.10971946762172,TRUE
ENSMUSG00000001909,1006.39365720142,-0.493790516872579,0.137706363109386,-3.58582207621255,0.000336018006945045,0.00572268950712158,2.2423998167339,TRUE
ENSMUSG00000001930,363.668026874699,0.731672030422602,0.199479974371348,3.6678971547316,0.000244553507932726,0.00449276495453076,2.34748630155397,TRUE
ENSMUSG00000001998,196.236215118637,-0.876753235830235,0.183824418321113,-4.7695145391331,1.84670415120236e-06,7.3575214987964e-05,4.13326846021102,TRUE
ENSMUSG00000002007,64.5996521348958,-1.16202669054299,0.322980572810184,-3.59782224804559,0.000320892794029628,0.00552676556106063,2.25752895729214,TRUE
ENSMUSG00000002028,2531.67425346091,-0.785261967185031,0.178532198622711,-4.3984332979874,1.09035126230242e-05,0.000354069711871395,3.45091122243624,TRUE
ENSMUSG00000002032,938.084016424406,-0.466158097374355,0.142886639582109,-3.26243306398483,0.00110460255518614,0.0139674628494657,1.85488247509889,TRUE
ENSMUSG00000002055,126.630003446314,-0.892096345874193,0.195567395736766,-4.56158012696019,5.07700943518364e-06,0.000181828419139853,3.74033823711492,TRUE
ENSMUSG00000002109,150.238678124137,-0.789742444016551,0.169237416988522,-4.66647658697196,3.06408541313112e-06,0.000115578932855389,3.93712131970832,TRUE
ENSMUSG00000002111,153.570034170574,0.497421078680822,0.157785652173748,3.15251147254554,0.00161872460564467,0.0186294169957053,1.72980073605974,TRUE
ENSMUSG00000002227,173.26963199606,-0.700277319868648,0.20269422525718,-3.45484593347507,0.000550607359545837,0.00820781414030726,2.08577248638831,TRUE
ENSMUSG00000002346,667.694677842343,-0.410383690768095,0.138618810018401,-2.96051950463012,0.00307120674177345,0.0298120415672833,1.52560828189942,TRUE
ENSMUSG00000002475,960.424634253543,0.362279384111943,0.0996660235470846,3.63493366363506,0.000278052172376773,0.00495208603360667,2.30521181883526,TRUE
ENSMUSG00000002486,165.089660173546,-0.532219065979405,0.183904606862705,-2.89399528950754,0.00380373868247738,0.0344823609502613,1.46240300640394,TRUE
ENSMUSG00000002602,1312.53056487102,0.357087406001555,0.127189278083,2.80752757923926,0.00499234048268758,0.0415410714242354,1.38152230636538,TRUE
ENSMUSG00000002603,242.930726119337,0.493515128517207,0.179677911774691,2.74666553970226,0.00602044950180129,0.0472209017591427,1.32586572362577,TRUE
ENSMUSG00000002617,308.27334338824,-0.393072579328621,0.134747368669807,-2.9171076452842,0.00353293821870234,0.0328785305803344,1.48308760035074,TRUE
ENSMUSG00000002625,2052.78020133341,-1.22063394619302,0.190741776576968,-6.39940535365871,1.55983233341464e-10,1.92227536194284e-08,7.71618440043099,TRUE
ENSMUSG00000002799,865.798258220625,-0.346689447709065,0.121536938963742,-2.85254384934356,0.0043370828287894,0.0377255854476153,1.42336401186527,TRUE
ENSMUSG00000002845,154.619154704184,-0.501608709112549,0.163007046297181,-3.07722101901079,0.00208940316713744,0.0225303523038989,1.64723201722233,TRUE
ENSMUSG00000002949,692.614606076495,-0.545817150782775,0.131048477725974,-4.16500183942687,3.11350054457513e-05,0.00083819490237334,3.07665498473083,TRUE
ENSMUSG00000002980,451.211613590259,0.473110375791063,0.159694462768008,2.96259724720927,0.00305055430485562,0.0296987477736213,1.52726186201179,TRUE
ENSMUSG00000003235,924.049238608148,0.281309015992801,0.0996098769520932,2.82410765478704,0.00474124568002567,0.0402356952683445,1.39538848971178,TRUE
